排名,学校名称,所在城市,学校英文名,学校缩写,主页,维护负责人
31,约翰霍普金斯大学-应用数学与统计学系,"Baltimore, MD","Johns Hopkins University (Dept, of Applied Mathematics and Statistics)",JHU-DAMS,,
31,加州大学戴维斯分校-统计学系,"Davis, CA","University of California—Davis (Dept, of Statistics)",UCD-DS,,
31,加州大学洛杉矶分校-统计学系,"Los Angeles, CA","University of California—Los Angeles (Dept, of Statistics)",UCLA-DS,,
31,宾夕法尼亚大学,"Philadelphia, PA",University of Pennsylvania (Perelman),UP-P,,
31,耶鲁大学-统计学与数据科学系,"New Haven, CT","Yale University (Dept, of Statistics and Data Science)",YU-DSDS,,
31,耶鲁大学-公共卫生学院,"New Haven, CT",Yale University (School of Public Health),YU-SPH,,
37,艾末莉大学-生物统计与生物信息系,"Atlanta, GA","Emory University (Dept, of Biostatistics and Bioinformatics)",EU-DBB,,
37,俄亥俄州立大学-统计学系,"Columbus, OH","Ohio State University (Dept, of Statistics)",OSU-DS,,
37,伊利诺伊大学厄本那-香槟分校-统计学系,"Champaign, IL","University of Illinois—Urbana-Champaign (Dept, of Statistics)",UIUC-DS,,
40,罗格斯大学-统计学与生物统计学系,"Piscataway, NJ","Rutgers University—New Brunswick (Dept, of Statistics and Biostatistics)",RUNB-DSB,,
40,佛罗里达大学-统计学系,"Gainesville, FL","University of Florida (Dept, of Statistics)",UF-DS,,
40,爰荷华大学-统计学与精算科学系,"Iowa City, IA","University of Iowa (Dept, of Statistics and Actuarial Science)",UI-DSAS,,
43,莱斯大学-统计学系,"Houston, TX","Rice University (Dept, of Statistics)",RU-DS,,
44,布朗大学-公共卫生学院,"Providence, Rl",Brown University (School of Public Health),BU-SPH,,
44,科罗拉多州立大学-统计学系,"Fort Collins, CO","Colorado State University (Dept, of Statistics)",CSU-DS,,
44,杜克大学-生物统计学与生物信息学系,"Durham, NC","Duke University (Dept, of Biostatistics and Bioinformatics)",DU-DBB,,
44,佛罗里达州立大学-统计学系,"Tallahassee, FL","Florida State University (Dept, of Statistics)",FSU-DS,,
44,康涅狄格大学-统计学系,"Storrs, CT","University of Connecticut (Dept, of Statistics)",UC-DS#1,,
44,范德堡大学-生物统计学系,"Nashville, TN","Vanderbilt University (Dept, of Biostatistics)",VU-DB,,
50,波士顿大学-生物统计学系,"Boston, MA","Boston University (Dept, of Biostatistics)",BU-DB,,
50,密歇根州立大学-统计学与概率系,"East Lansing, Ml","Michigan State University (Dept, of Statistics & Probability)",MSU-DSP,,
50,加州大学戴维斯分校-生物统计学系,"Davis, CA",University of California—Davis (Graduate Group in Biostatistics),UCD-GGB,,
50,加州大学尔湾分校-统计学系,"Irvine, CA","University of California—Irvine (Dept, of Statistics)",UCI-DS,,
50,德克萨斯大学奥斯汀分校-统计学与数据科学系,"Austin, TX","University of Texas—Austin (Dept, of Statistics and Data Science)",UTA-DSDS,,
